Bowler,Dismissals,Runs,Balls,Average,Strike Rate,Threat Score
A Kamboj,1,21,14,21.0,150.0,35.0
A Flintoff,0,1,4,1.0,25.0,35.0
Akash Singh,1,20,13,20.0,153.85,34.23
NLTC Perera,1,66,42,66.0,157.14,33.57
MN Samuels,0,1,3,1.0,33.33,33.33
G Coetzee,0,1,3,1.0,33.33,33.33
KK Ahmed,1,51,32,51.0,159.38,33.12
N Rana,1,16,10,16.0,160.0,33.0
Kartik Tyagi,1,37,23,37.0,160.87,32.83
Anureet Singh,1,26,16,26.0,162.5,32.5
AF Milne,1,15,9,15.0,166.67,31.67
Prince Yadav,1,17,10,17.0,170.0,31.0
RR Powar,0,2,4,2.0,50.0,30.0
Joginder Sharma,1,7,4,7.0,175.0,30.0
DJ Willey,0,2,4,2.0,50.0,30.0
T Henderson,0,1,2,1.0,50.0,30.0
BA Stokes,1,14,8,14.0,175.0,30.0
B Laughlin,0,1,2,1.0,50.0,30.0
Kamran Khan,1,20,11,20.0,181.82,28.64
V Pratap Singh,0,4,7,4.0,57.14,28.57
T Natarajan,1,66,36,66.0,183.33,28.33
MA Starc,1,59,32,59.0,184.38,28.12
HF Gurney,1,24,13,24.0,184.62,28.08
Washington Sundar,0,3,5,3.0,60.0,28.0
DP Vijaykumar,0,3,5,3.0,60.0,28.0
LJ Wright,0,4,6,4.0,66.67,26.67
GH Vihari,0,2,3,2.0,66.67,26.67
IC Pandey,0,7,10,7.0,70.0,26.0
Yash Thakur,0,5,7,5.0,71.43,25.71
JP Duminy,0,8,11,8.0,72.73,25.45
BJ Hodge,1,7,3,7.0,233.33,25.0
CJ Jordan,0,6,8,6.0,75.0,25.0
J Little,0,3,4,3.0,75.0,25.0
Monu Kumar,0,3,4,3.0,75.0,25.0
GF Linde,0,3,4,3.0,75.0,25.0
WPUJC Vaas,1,4,2,4.0,200.0,25.0
BE Hendricks,0,3,4,3.0,75.0,25.0
Vijaykumar Vyshak,0,6,8,6.0,75.0,25.0
KC Cariappa,1,43,16,43.0,268.75,25.0
BB Sran,1,10,4,10.0,250.0,25.0
A Symonds,1,24,11,24.0,218.18,25.0
Parvez Rasool,0,7,9,7.0,77.78,24.44
Shahbaz Ahmed,0,14,18,14.0,77.78,24.44
Mohammad Nabi,0,4,5,4.0,80.0,24.0
S Sreesanth,0,24,30,24.0,80.0,24.0
MJ Clarke,0,5,6,5.0,83.33,23.33
Iqbal Abdulla,0,11,13,11.0,84.62,23.08
Ankit Sharma,0,23,27,23.0,85.19,22.96
WD Parnell,0,7,8,7.0,87.5,22.5
SL Malinga,0,34,38,34.0,89.47,22.11
C Sakariya,0,17,17,17.0,100.0,20.0
BAW Mendis,0,1,1,1.0,100.0,20.0
R Shukla,0,7,7,7.0,100.0,20.0
CR Woakes,0,1,1,1.0,100.0,20.0
Fazalhaq Farooqi,0,3,3,3.0,100.0,20.0
N Wadhera,0,2,2,2.0,100.0,20.0
JR Hazlewood,0,11,11,11.0,100.0,20.0
A Chandila,0,15,15,15.0,100.0,20.0
DJ Hussey,0,2,2,2.0,100.0,20.0
Anand Rajan,0,2,2,2.0,100.0,20.0
Shahid Afridi,0,5,5,5.0,100.0,20.0
DL Vettori,0,9,9,9.0,100.0,20.0
LRPL Taylor,0,3,3,3.0,100.0,20.0
GB Hogg,0,7,7,7.0,100.0,20.0
RP Meredith,0,8,8,8.0,100.0,20.0
XC Bartlett,0,9,9,9.0,100.0,20.0
Mohsin Khan,0,10,10,10.0,100.0,20.0
KL Nagarkoti,0,11,11,11.0,100.0,20.0
TL Suman,0,1,1,1.0,100.0,20.0
AG Murtaza,0,1,1,1.0,100.0,20.0
M Ntini,0,5,5,5.0,100.0,20.0
DA Payne,0,4,4,4.0,100.0,20.0
SR Dubey,0,2,2,2.0,100.0,20.0
V Sehwag,0,1,1,1.0,100.0,20.0
DW Steyn,0,28,27,28.0,103.7,19.26
R McLaren,0,18,17,18.0,105.88,18.82
B Lee,0,17,16,17.0,106.25,18.75
Mayank Dagar,0,13,12,13.0,108.33,18.33
N Burger,0,24,22,24.0,109.09,18.18
BCJ Cutting,0,11,10,11.0,110.0,18.0
R Tewatia,0,40,36,40.0,111.11,17.78
M Ashwin,0,38,34,38.0,111.76,17.65
AL Menaria,0,9,8,9.0,112.5,17.5
Harmeet Singh,0,18,16,18.0,112.5,17.5
R Sai Kishore,0,27,24,27.0,112.5,17.5
J Yadav,0,8,7,8.0,114.29,17.14
AJ Tye,0,43,36,43.0,119.44,16.11
CR Brathwaite,0,12,10,12.0,120.0,16.0
M Theekshana,0,28,23,28.0,121.74,15.65
P Parameswaran,0,5,4,5.0,125.0,15.0
MG Johnson,0,28,22,28.0,127.27,14.55
S Badree,0,14,11,14.0,127.27,14.55
GJ Maxwell,0,14,11,14.0,127.27,14.55
Auqib Nabi,0,9,7,9.0,128.57,14.29
DS Rathi,0,17,13,17.0,130.77,13.85
P Negi,0,45,34,45.0,132.35,13.53
Navdeep Saini,0,4,3,4.0,133.33,13.33
AS Joseph,0,12,9,12.0,133.33,13.33
HR Shokeen,0,4,3,4.0,133.33,13.33
MR Marsh,0,28,21,28.0,133.33,13.33
S Randiv,0,8,6,8.0,133.33,13.33
CJ Anderson,0,16,12,16.0,133.33,13.33
PWH de Silva,0,27,20,27.0,135.0,13.0
PJ Sangwan,0,38,28,38.0,135.71,12.86
JD Ryder,0,11,8,11.0,137.5,12.5
MP Stoinis,0,18,13,18.0,138.46,12.31
S Kaul,0,18,13,18.0,138.46,12.31
AS Roy,0,25,18,25.0,138.89,12.22
Gagandeep Singh,0,7,5,7.0,140.0,12.0
Abhishek Sharma,0,28,20,28.0,140.0,12.0
K Kartikeya,0,13,9,13.0,144.44,11.11
PJ Cummins,0,48,33,48.0,145.45,10.91
C Green,0,16,11,16.0,145.45,10.91
S Sandeep Warrier,0,6,4,6.0,150.0,10.0
Simarjeet Singh,0,12,8,12.0,150.0,10.0
Mohammed Siraj,0,18,12,18.0,150.0,10.0
M Pathirana,0,15,10,15.0,150.0,10.0
OF Smith,0,6,4,6.0,150.0,10.0
J Botha,0,6,4,6.0,150.0,10.0
Yuvraj Singh,0,30,20,30.0,150.0,10.0
M Manhas,0,6,4,6.0,150.0,10.0
LS Livingstone,0,23,15,23.0,153.33,9.33
R Bhatia,0,40,26,40.0,153.85,9.23
NT Ellis,0,14,9,14.0,155.56,8.89
YA Abdulla,0,11,7,11.0,157.14,8.57
JR Hopes,0,11,7,11.0,157.14,8.57
SB Styris,0,16,10,16.0,160.0,8.0
LH Ferguson,0,72,45,72.0,160.0,8.0
SC Ganguly,0,8,5,8.0,160.0,8.0
Nithish Kumar Reddy,0,16,10,16.0,160.0,8.0
S Lamichhane,0,29,18,29.0,161.11,7.78
V Kaverappa,0,18,11,18.0,163.64,7.27
CRD Fernando,0,23,14,23.0,164.29,7.14
JDS Neesham,0,10,6,10.0,166.67,6.67
AK Markram,0,5,3,5.0,166.67,6.67
DR Smith,0,10,6,10.0,166.67,6.67
JDP Oram,0,5,3,5.0,166.67,6.67
Shivam Mavi,0,25,15,25.0,166.67,6.67
YK Pathan,0,5,3,5.0,166.67,6.67
R Parag,0,39,23,39.0,169.57,6.09
L Ablish,0,12,7,12.0,171.43,5.71
P Amarnath,0,7,4,7.0,175.0,5.0
GD Phillips,0,7,4,7.0,175.0,5.0
KJ Abbott,0,18,10,18.0,180.0,4.0
WG Jacks,0,9,5,9.0,180.0,4.0
Suyash Sharma,0,20,11,20.0,181.82,3.64
AS Rajpoot,0,33,18,33.0,183.33,3.33
Yash Dayal,0,48,26,48.0,184.62,3.08
TU Deshpande,0,32,17,32.0,188.24,2.35
FH Edwards,0,19,10,19.0,190.0,2.0
KV Sharma,0,89,46,89.0,193.48,1.3
VR Aaron,0,33,17,33.0,194.12,1.18
V Puthur,0,8,3,8.0,266.67,0.0
SH Johnson,0,13,4,13.0,325.0,0.0
MJ Suthar,0,14,7,14.0,200.0,0.0
TK Curran,0,22,9,22.0,244.44,0.0
RN ten Doeschate,0,5,2,5.0,250.0,0.0
S Kaushik,0,50,23,50.0,217.39,0.0
CL White,0,13,4,13.0,325.0,0.0
Naveen-ul-Haq,0,12,6,12.0,200.0,0.0
A Zampa,0,33,16,33.0,206.25,0.0
MA Wood,0,12,4,12.0,300.0,0.0
VG Arora,0,54,25,54.0,216.0,0.0
W O'Rourke,0,21,8,21.0,262.5,0.0
CJ Dala,0,24,12,24.0,200.0,0.0
DJM Short,0,8,3,8.0,266.67,0.0
E Malinga,0,16,8,16.0,200.0,0.0
MJ Henry,0,19,8,19.0,237.5,0.0
Shashank Singh,0,12,6,12.0,200.0,0.0
AM Nayar,0,18,9,18.0,200.0,0.0
ST Jayasuriya,0,12,4,12.0,300.0,0.0
SB Bangar,0,12,4,12.0,300.0,0.0
A Singh,0,12,6,12.0,200.0,0.0
JE Taylor,0,13,4,13.0,325.0,0.0
AB McDonald,0,17,6,17.0,283.33,0.0
SJ Srivastava,0,6,3,6.0,200.0,0.0
C Ganapathy,0,7,2,7.0,350.0,0.0
RG Sharma,0,9,4,9.0,225.0,0.0
Y Venugopal Rao,0,6,3,6.0,200.0,0.0
DJG Sammy,0,7,3,7.0,233.33,0.0
