Bowler,Runs,Balls,Dismissals,Average,Strike Rate,Wicket Probability,Threat Score
Bipul Sharma,21,15,1,21.0,140.0,6.67,23.33
JC Archer,64,48,1,64.0,133.33,2.08,23.04
R Sharma,46,34,1,46.0,135.29,2.94,22.88
Harshit Rana,33,24,1,33.0,137.5,4.17,22.83
SM Curran,111,73,3,37.0,152.05,4.11,22.44
A Mishra,162,108,3,54.0,150.0,2.78,22.39
DJ Bravo,157,110,2,78.5,142.73,1.82,22.09
GJ Maxwell,14,11,0,14.0,127.27,0.0,21.82
MG Johnson,28,22,0,28.0,127.27,0.0,21.82
S Badree,14,11,0,14.0,127.27,0.0,21.82
M Prasidh Krishna,69,43,3,23.0,160.47,6.98,21.35
UT Yadav,168,98,5,33.6,171.43,5.1,21.12
DS Rathi,17,13,0,17.0,130.77,0.0,20.77
CH Morris,109,73,2,54.5,149.32,2.74,20.58
A Kamboj,21,14,1,21.0,150.0,7.14,20.57
P Negi,45,34,0,45.0,132.35,0.0,20.29
PV Tambe,49,34,1,49.0,144.12,2.94,20.24
I Sharma,112,79,1,112.0,141.77,1.27,20.1
CJ Anderson,16,12,0,16.0,133.33,0.0,20.0
MR Marsh,28,21,0,28.0,133.33,0.0,20.0
Akash Singh,20,13,1,20.0,153.85,7.69,19.69
MC Henriques,37,25,1,37.0,148.0,4.0,19.6
PWH de Silva,27,20,0,27.0,135.0,0.0,19.5
PJ Sangwan,38,28,0,38.0,135.71,0.0,19.29
MM Sharma,90,62,1,90.0,145.16,1.61,19.26
N Rana,16,10,1,16.0,160.0,10.0,19.0
SN Thakur,83,53,2,41.5,156.6,3.77,18.91
RP Singh,62,39,2,31.0,158.97,5.13,18.87
S Kaul,18,13,0,18.0,138.46,0.0,18.46
MP Stoinis,18,13,0,18.0,138.46,0.0,18.46
AS Roy,25,18,0,25.0,138.89,0.0,18.33
Arshdeep Singh,109,69,2,54.5,157.97,2.9,18.06
Abhishek Sharma,28,20,0,28.0,140.0,0.0,18.0
S Gopal,68,39,3,22.67,174.36,7.69,17.54
Anureet Singh,26,16,1,26.0,162.5,6.25,16.38
C Green,16,11,0,16.0,145.45,0.0,16.36
PJ Cummins,48,33,0,48.0,145.45,0.0,16.36
NLTC Perera,66,42,1,66.0,157.14,2.38,16.05
Prince Yadav,17,10,1,17.0,170.0,10.0,16.0
Kartik Tyagi,37,23,1,37.0,160.87,4.35,15.91
KK Ahmed,51,32,1,51.0,159.38,3.12,15.75
Mohammed Siraj,18,12,0,18.0,150.0,0.0,15.0
M Pathirana,15,10,0,15.0,150.0,0.0,15.0
Yuvraj Singh,30,20,0,30.0,150.0,0.0,15.0
LS Livingstone,23,15,0,23.0,153.33,0.0,14.0
R Bhatia,40,26,0,40.0,153.85,0.0,13.85
HV Patel,107,61,2,53.5,175.41,3.28,13.02
Nithish Kumar Reddy,16,10,0,16.0,160.0,0.0,12.0
LH Ferguson,72,45,0,72.0,160.0,0.0,12.0
Kamran Khan,20,11,1,20.0,181.82,9.09,12.0
SB Styris,16,10,0,16.0,160.0,0.0,12.0
S Lamichhane,29,18,0,29.0,161.11,0.0,11.67
V Kaverappa,18,11,0,18.0,163.64,0.0,10.91
CRD Fernando,23,14,0,23.0,164.29,0.0,10.71
HF Gurney,24,13,1,24.0,184.62,7.69,10.46
Shivam Mavi,25,15,0,25.0,166.67,0.0,10.0
R Parag,39,23,0,39.0,169.57,0.0,9.13
T Natarajan,66,36,1,66.0,183.33,2.78,8.39
MA Starc,59,32,1,59.0,184.38,3.12,8.25
A Symonds,24,11,1,24.0,218.18,9.09,6.55
KJ Abbott,18,10,0,18.0,180.0,0.0,6.0
Suyash Sharma,20,11,0,20.0,181.82,0.0,5.45
KC Cariappa,43,16,1,43.0,268.75,6.25,5.12
AS Rajpoot,33,18,0,33.0,183.33,0.0,5.0
Yash Dayal,48,26,0,48.0,184.62,0.0,4.62
TU Deshpande,32,17,0,32.0,188.24,0.0,3.53
FH Edwards,19,10,0,19.0,190.0,0.0,3.0
KV Sharma,89,46,0,89.0,193.48,0.0,1.96
VR Aaron,33,17,0,33.0,194.12,0.0,1.76
S Kaushik,50,23,0,50.0,217.39,0.0,0.0
A Zampa,33,16,0,33.0,206.25,0.0,0.0
CJ Dala,24,12,0,24.0,200.0,0.0,0.0
VG Arora,54,25,0,54.0,216.0,0.0,0.0
